question_id,Accuracy,TTA,Chapter,difficulty_level,question,option_a,option_b,option_c,option_d,option_e,correct_option,expected_time,minimum_time,Included in?
1,51%,49,Simplification,0.06,What approximate value should come in the place of question mark (?) in the following question? 5^(3.97) ÷ 9^(0.9989) = 9 × ?,12,4,2,16,8,E,53.9,24.5,DPP 1
2,88%,46,Simplification,2.28,What approximate value should come in the place of question mark ‘?’ in the following question? (You are not expected to calculate the exact value) 1595 ÷ 25 × 44.5 = ?,3650,2440,2880,3800,3200,C,50.6,23,DPP 1
3,57%,62,Simplification,0.42,What approximate value will come in place of the question mark (?) in the following questions? sqrt(5089)−sqrt(2641)+sqrt(1186)=?,54,90,43,25,38,A,68.2,31,DPP 1
4,29%,56,Simplification,-1.26,What will come in place of the question mark ‘?’ in the following question? (1/729)^2/3 ÷ (1/729)^1/3 + (1/729)^(-2/3) = ?,729,9,730/9,01-Sep,None of these,C,61.6,28,DPP 1
5,82%,54,Simplification,1.92,What approximate value should come in place of question mark (?) in the following question? (You are not expected to calculate the exact value.) (21.98)^2 – (25.02)^2 + (13.03)^2 = ?,21,20,23,22,None of these,E,59.4,27,DPP 1
6,58%,66,Simplification,0.48,What will come in place of question mark ‘?’ in the following question? 28.314 – 31.427 + 113.928 = ? + 29.114,81.711,80.701,71.711,81.701,None of these,D,72.6,33,DPP 1
7,68%,62,Simplification,1.08,What will come in place of question mark (?) in the following question? [125 ÷ (3 + 1 ÷ 2 + 3 ÷ 2)] ÷ ? – 1 ÷ 2 = 12,2,3,4,5,0,A,68.2,31,DPP 1
8,64%,33,Simplification,0.84,What approximate value should come in place of the question mark (?) in the following questions? 78.143 – [5.08 + 3.15 of (24.98 – 1.95 × 9.998)] = ?,58,78,98,118,228,A,36.3,16.5,DPP 1
9,72%,47,Simplification,1.32,"What approximate value shouldcome in the place of question mark ‘?’ in the following question? (You are not
expected to calculate the exact value) (3.01)4 × (2.99)2 23.99 = ? × (46.99 × 2.91)",5,11,13,7,None of these,A,51.7,23.5,DPP 1
10,28%,35,Simplification,-1.32,What approximate value should come in the place of question mark ‘?’ in the following question?  {(342)^0.33 +(360.00)^0.5 } ÷ 13.01 = ?,2,2600,131,1301,None of these,A,38.5,17.5,DPP 1
